title,news,links,date,author
Amangidwa Atapezeka ndi Nyanga ya Njovu ku Chikwawa,"Apolisi m’boma la Chikwawa amanga bambo wa zaka 40 zakubadwa, pomuganizira kuti wapezeka ndi mnyanga ya njovu yolemerera pafupipafupi ma kilogalamu khumi (10). Wofalitsa nkhani za apolisi m’bomalo Sergeant Dickson Matemba watsimikizaza nkhaniyi poyankhula ndi Radio Maria Malawi. Woganiziridwayu Edward Kachala anagwidwa pa 21 June anthu ena atatsina khutu apolisi kuti mkuluyu akutsatsa malondawa. “Tamangadi a Kachala anthu ena atatiuza kuti iwowa akugulitsa nyanga ya njovu yolemera 10kilograms. Ma CID athu ndi akuluakeulu ena a nthambi yowona za nkhalango anakwanitsa kuchita kafukufuku ndi kumanga mkuluyu. Tiwatengera ku khothi posachedwapa kuti akayankhe mlanduwu,” anatero a Matemba. Padakalipano apolisi ayamikira anthu a m’bomalo pokhala patsogolo kuwatsina khutu zokhudza anthu amena akupalamula milandu yosiyanasiyana m’bomalo. A Kachala amachokera m’mudzi mwa Chituwi mfumu yaikulu Ngabu m’boma lomwelo la Chikwawa.",https://www.radiomaria.mw/amangidwa-atapezeka-ndi-nyanga-ya-njovu-ku-chikwawa/,"June 25, 2023",judith sonkho
Papa Walengeza kuti Lucia ndi Wolemekezeka,"Mtsogoleri wa mpingo wa Katolika pa dziko lonse Papa Francisco wasayinira kalata yolengeza kuti Lucia dos Santos wa m’dziko la Portugal tsopano ndi wolemekezeka. Sister Lucia dos Santos Malinga ndi malipoti a Vatican Radio, Lucia ndi anzake ena awiri Francisco komanso Yasinta adawonekeredwa ndi Amayi Maria pa nthawi yomwe adali kuweta nkhosa ku Fatima m’dziko la Portugal m’chaka cha 1917. Iwo sadawonekeredwe ndi Amayi Maria kamodzi kokha koma izi zidapitirira kwa miyezi yokwana isanu. Powaonekera anawa, Amayi Maria adawulura zinthu zingapo: za kufunika komapemphera makamaka mapemphero a Kolona, za kufunika kokhala anthu odzimana, za kutha kwa nkhondo yoyamba ya dziko lonse la pansi (World War I), kukula kwa ulamuliro wa chi communist m’dziko la Russia ndi za mavuto ochuluka omwe akhristu adzakhale akukumana nawo mu zaka za kutsogolo kaamba ka chikhulupiliro chawo. Lucia pamodzi ndi asuweni ake Francisko ndi Yasinta Francisco ndi Yasinta atamwalira m’chaka cha 1919, Lucia adapitirira kusunga uthenga wa Amayi Maria ndipo kenako adalowa moyo wa m’chipani cha mu mpingo ndi kukhala sisitere. Iye adamwalira pa 13 February m’chaka cha 2005. Pamene munthu watchulidwa wolemekezeka (Venerable), amayembekezeka pambuyo pake kukhala wodala (Blessed) asadakhale woyera (Saint).",https://www.radiomaria.mw/papa-walengeza-kuti-lucia-ndi-wolemekezeka/,"June 24, 2023",judith sonkho
Amayi aku Immigration Athandiza Malo Osamalira Ana Aang’ono,"Amayi ochokera ku nthambi ya boma yowona zolowa ndi kutuluka mdziko muno ya Immigration m’boma la Mangochi apereka thandizo la katundu wosiyanasiyana kwa ana aang’ono omwe amalandira chisamaliro chawo ku malo a Open Arms Infant Home ku Namiyasi m’boma la Mangochi. Poyankhula pamene anali mlendo wolemekezeka ku mwambo wopereka thandizoli mayi Benadette Kalumo amene ndi mkazi wa mkulu wa nthambi ya Immigration m’dziko muno, anayamikira chidwi chomwe amayi ogwira ntchito ku Immigration-wa awonetsa pochita posonkhanitsa ndalama ndi kugulira thandizo lomwe akapereka ku malowa. Mayi Kalumo kupereka wina mwa katunduyo kwa a Mwaliwa Iwo anati zomwe amayiwa achita ndi madalitso aakulu ochokera kwa Mulungu. “Zimenezi ndi zabwino kwambiri ndi chifukwa chake ndinabwera kudzakhala nawo pano. Tipemphe anthu ena amene ali ndi kuthekera kuti ayesetse ndi chuma chawo kumathadniza anthu amene ali osowa chifukwa akatero Mulungu adzawadalitsa,” anatero mayi Kalumo. Zina mwa zinthu zomwe amayiwa apereka ku malowa ndi monga Sugar, SOBO squash, ma diaper, sopo, ufa ndi zina zambiri. Poyankhulapo m’modzi mwa akulu-akulu a ku malowa a Fred Mwaliwa anati zomwe amayi ogwira ntchito ku Immigration-wa achita, ndi zinthu zotamandika kwambiri kaamba koti malowa amasowa zambiri pa chisamaliro cha wana. “Ana amenewa amasowa matini 48 a mkaka wa lactogen 1 komanso matini 40 a lactogen 2 pa mwezi umodzi kuti tiwasamale. Pano zinthu zikuvuta kwambiri kuposera pachiyambi maka chifukwanso cha mliri wa COVID-19 zomwe zinachititsa kuti thandizo lomwe timapeza lichepe. Katundu wabwerayu ndiye kuti watichepetsera budget yathu. Pamenepa ndiye kuti mwezi onse wa July sitigula kanthu,” anatero a Mwaliwa. Malo a Open Arms Infant Home amasamala ana ongobadwa kumene mpaka zaka ziwiri omwe makolo awo anamwalira kapena omwe anatayidwa ndi makolo awo, komanso ana omwe makolo awo ndi amisala.",https://www.radiomaria.mw/amayi-aku-immigration-athandiza-malo-osamalira-ana-aangono/,"June 24, 2023",judith sonkho
Atupele Muluzi Sanaganizebe Zopikisana Nawo ku ‘Convention’,"Mtsogoleri wakale wa chipani cha United Democratic Front (UDF) Atupele Muluzi wati sanapange chiganizo ngati adzapikisane nawo pa mpando wa utsogoleri wa chipanicho pa msonkhano waukulu wa chipanichi. Muluzi yemwe mwezi wa May chaka chatha analengeza kuti wasiya ndale ndipo wayamba bizinesi, amayankhula izi la Mulungu ku Mangochi pamene anali mlendo wolemekezeka pa mwambo wokondwelera kuti chipani cha UDF chakwanitsa zaka 30 kuchokera pomwe chinakhazikitsidwa mdziko muno. Muluzi: Ndilengeza kutsogoloku Iye wati adakalingalirabe za nkhaniyi ndipo akapanga chiganizo adzalengeza. “Ine ndadzipereka kuti tipititse patsogolo chipani chathu. Convention imalora munthu aliyense kupikisana nawo pa mpando uliwonse kuphatikizapo wa president ndiye ndilengeza kutsogoloku,” anatero Muluzi. Poyankhula pa nkhani zokhudza tsikuli Muluzi anati chipani cha UDF chinachita zitukuko zochuluka mu nthawi ya ulamuliro wake monga kubweretsa maphunziro aulere, kumanga misewu, zipatala, kubweretsa lamya za m’manja komanso zina. Poyankhulapo pamene iye amanena kuti sadzapikisana nawo pa msonkhano waukulu wa chipanichi, mtsogoleri wa chipani cha UDF mayi Lilian Patel adzudzula anthu ena omwe akuti akubweretsa chisokonezo m’chipanicho. Muluzi kugawana mfundo ndi Patel pa msonkhanowo “Pali anthu ena amene akuchita ngati kuti iwowo ndiye eni ake a UDF pamene ife tonse ndife amodzi. UDF is a democratic party ndiye tisamanyozane ayi. Ine nditengera chipani chimenechi ku convention koma sindikapikisana nawo komanso sindili ku mbali ya aliyense ndiye amene akufuna atha kubwera kudzapikisana nawo,” anatero mayi Patel. Chipani cha UDF chinalamulira dziko lino kuchokera m’chaka cha 1994 mpaka mchaka cha 2004 pamene chimatsogoleredwa ndi Dr. Bakili Muluzi ndipo ndi chipanichomwe chinabweretsa ulamuliro wa zipani zambiri mdziko muno kuchoka ku ulamuliro wa chipani chimodzi cha Malawi Congress (MCP) chomwe pa nthawiyo chimkatsogoleredwa ndi malemu Dr. Hastings Kamuzu Banda.",https://www.radiomaria.mw/atupele-muluzi-sanaganizebe-zopikisana-nawo-ku-convention/,"May 8, 2023",judith sonkho
PRISAM Yati Iyamba Kubwereketsa Ndalama Kwa Mamembala Ake,"Bungwe loyang’anira sukulu zomwe si za boma mdziko muno la Private Schools Association of Malawi (PRISAM) lati liyamba ndondomeko yopereka ngongole ku sukulu zomwe ndi mamembala a bungweli ndi cholinga choti ntchito za sukuluzi zipite patsogolo. A Ntafya ndi ena mwa akuluakulu a PRISAM Wapampando wabungweli a Amon Ntafya anena izi loweruka mu mzinda wa Lilongwe pamene amakhazikitsa bungweli mu mzindawo pomwe amakumana ndi sukulu zomwe si za boma zomwe zikufuna kulowa mu bungweli za mu mzinda komanso m’boma la Lilongwe. Iwo ati sukulu zomwe si za boma zikukumana ndi mavuto aakulu a chuma omwe akulanso kwambiri kaamba ka namondwe wa Freddy yemwe anakhudza maboma ambiri a chigawo chakumwera ndipo ndi kofunika kuti sukuluzi zipeze ndalama zothandizira kuti ntchito zake ziyambireno kuyenda bwino. “Ndife oyima patokha pa nkhani ya chuma chifukwa timadalira ophunzira. Ndiye pamene namondwe wa Freddy komanso matenda a Kolera zinatigwera, pali mavuto ambiri a chuma ndiye tikuwauza eni sukulu zomwe si za boma kuno ku Lilongwe kuti alowe m’bungweli chifukwa pompano tikhazikitsa ndondomeko yobwereketsa ndalama ija amati SACCO pakati pa sukulu zomwe si za boma kuti sukulu zambiri zikonze mavuto amenewo,” anatero a Ntafya. Mamembala a bungwe la PRISAM pambuyo pa msonkhano wawo ku LIlongwe Mwazina pa tsikuli akuluakulu a bungweli anakambirana ndi akuluakulu a sukuluzi pa zokonzekera zokhudza mayeso a boma a chaka chino a sitandade 8, fomu 2 komanso fomu 4 ndipo pa nkhaniyi a Ntafya analangiza sukuluzi kuti zipewe kuchita zachinyengo pa mayesowa. Wapampandoyu wati akufunitsitsa kuwona sukulu zomwe si za boma zikupindula kudzera mu bungweli osati kupsinjika momwe zakhala zikuyendera ndi mabungwe ena a sukuluzi. Iwo ati posachedwapa akhalanso akukhazikitsa bungweli m’chigawo chakumpoto kwa dziko lino. Poyankhulapo yemwe wasankhidwa kukhala wapampando wa bungweli m’chigawo chapakati a Chimwemwe Kumwenda ati awonetsetsa kuti sukulu zambiri zilowe mu bungweli powonetsa ubwino omwe sukulu zimene zili bungweli zikupeza. Iwo ati agwira bwino ntchito limodzi ndi unduna wa zamaphunziro komanso bungwe lolembetsa mayeso a boma mdziko muno la Malawi National Examinations Board (MANEB) pofuna kupititsa patsogolo ntchito za maphunziro msukulu zomwe zili mamembala a bungweli.",https://www.radiomaria.mw/prisam-yati-iyamba-kubwereketsa-ndalama-kwa-mamembala-ake/,"May 8, 2023",judith sonkho
Papa Wayamikira Bungwe Loteteza Ana mu Mpingo,"Mtsogoleri wa mpingo wa Katolika pa dziko lonse Papa Francisco walimbikitsa bungwe la mu mpingo wa Katolika lolimbana ndi m’chitidwe wochitira nkhanza ana kuti lipitirize kugwira ntchito yake yabwino. Malinga ndi malipoti a Vatican Radio, Papa wayankhula izi ku likulu la mpingowu ku Vatican pa nkumano wake ndi mamembala a bungweli lomwe limatchedwa kuti Pontifical Commission for the Protection of Minors. Iye wati ntchito younika ndi kukonza ndondomeko zoyenera kutsatidwa poteteza ana ku nkhanza ikuyenera kupitirira. Papa Francisco wati ndi kofunika kuchilimika pa ntchitoyi kaamba koti kungakhale kovuta kumawalalikira anthu za chikondi cha Mulungu ngati mpingo ungamalephere kuteteza ana ku m’chitidwe oyipawu. Iye wati ndi tchimo lalikulu pa maso pa Mulungu kulekerera kapena kutseka maso ndi kumachita ngati kuti nkhaniyi ndi nkhambakamwa chabe ndipo wati tchimo lake ndi lofanana ndi la awo omwe amachita nkhanzazi. Pamenepa Papa Francisco wati atsogoleri a mpingo amene sakuchitapo kanthu pothana ndi m’chitidwewu akupalamula mlandu waukulu pa maso pa Mulungu. Bungwe lothana ndi nkhanza zokhudza ana, Pontifical Commission for the Protection of Minors adalikhazikitsa m’chaka cha 2014 ndipo mwa zina limawunika malipoti ochokera kwa a episkopi a mpingowu pa nkhaniyi m’maiko osiyana-siyana.",https://www.radiomaria.mw/papa-wayamikira-bungwe-loteteza-ana-mu-mpingo/,"May 8, 2023",judith sonkho
United Purpose Ilimbikitsa Atolankhani Kumemeza Anthu Za Katemera,"Bungwe la United Purpose m’boma la Dedza lalimbikitsa atolankhani kuti atenge udindo ozindikiritsa anthu za kufunika kolandira katemera wa matenda a Covid-19 ndi Kolera. M’modzi mwa akuluakulu ku bungweli a Gift Munthali ndi omwe ayalankhula izi lachitatu kwa atolankhani ndi awulutsi a nyumba zofalitsa nkhani zosiyanasiyana m’boma la Dedza. Iwo ati kudzera mu kuwulutsa mawu ndi kulemba nkhani, anthu a m’bomali angathe kuzindikiritsidwa bwino kufunikira kolandira katemera pamene zikusonyeza kuti anthu ambiri a m’bomalo sanalandire katemera wa Covid-19. “Tagwira ntchito kuno ku Dedza kwakanthawi ndithu ndipo tawona kuti pakufunika kugwira ntchito ndi atolankhani chifukwa ndi anthu ochepa okha amene analandira katemerayu kuno ku Dedza, mwina tili pa 20 percent kupita pansi,” anatero a Munthali. Poyankhulapo mneneri wa chipatala cha Dedza, Mwayi Liyabunya wati ntchito imene bungwe la United Purpose likugwira, ithandiza kuti anthu ambiri m’bomalo alandire katemera wa Covid-19 komanso wa Kolera, zimene zingachepetse kufala kwa matendawa. Iwo anati, “Project imeneyi ya bungwe la United Purpose ndi yofunika kwambiri chifukwa ikuthandizira kuti anthu ambiri afikiridwe ndi katemera komanso mauthenga okhudza Covid-19 ndi Kolera.” Iwo anati akufunitsitsa kuti agwire ntchito ndi atolankhani pofuna kufikitsa patali mauthenga okhudza nkhaniyi.",https://www.radiomaria.mw/united-purpose-ilimbikitsa-atolankhani-kumemeza-anthu-za-katemera/,"April 22, 2023",judith sonkho
"MACRA Yakhazikitsa Ntchito Yopereka Mayina ku Misewu, Nambala ku Nyumba M’boma la Kasungu","Bungwe loyang’anira ntchito zofalitsa mauthenga komanso za mtengatenga ndi mtokoma la Malawi Communications Regulatory Authority (MACRA) lakhazikitsa ntchito yopereka mayina ku misewu komanso nambala ku nyumba m’boma la Kasungu. Poyankhula ndi Radio Maria Malawi mneneri wa bungweli a Zadziko Mankhambo ati ndondomekoyi ndi yofunika kwambiri kaamba koti imachepetsa ntchito yofotokozera malo amene munthu akupezeka. Iwo amayankhula izi lachinayi pambuyo pa mkumano omwe anakonzera akuluakulu a tawuni ya Kasungu kuphatikizapo anthu okhudzidwa ndi nkhaniyi monga apolisi, a ESCOM, a Water Board ndi ena. “Ndondomekoyi ndi yofunika kwambiri chifukwa zimachepetsa ntchito ya mafotokozedwe ngati akufuna chithandizo chilichonse chifukwa amangotchula kuti ndili mu nyumba yakuti, mu nsewu wakuti. Tinagula makina amene misewu yomwe ikutchulidwayi izisindikizidwa mu makina amenewo kuti olo kupita pa google map uzipeza malo amene ukuwafunawo mosavuta,” anatero a Mankhambo. Poyankhulapo mkulu wa tawuni ya Kasungu, a Isaac Mkandawire ati ntchitoyi ithandiza anthu a mtawuniyi maka pa nthawi yomwe akumana ndi vuto kuti atahndizidwe mwamsanga ndi mosavuta. “Ndi ntchito yofunika kwambiri kuti tikwanitse kufikira anthu mosavuta monga nkhani zozimitsa moto, chitetezo ndi zina,” anatsindika motero a Mkandawire. Padakalipano bungwe la MACRA latsiriza kale ndondomekoyi m’maboma onse a m’chigawo chakumpoto ndipo chomwe chatsala ndi kuyika zikwangwana kaamba koti ntchito yopereka mayina ku misewuyo inachitika kale. Bungweli likatsiriza ntchitoyi m’chigawo chapakati, lipitanso m’chigawo chakumwera kuti akagwirenso ntchito ngati yomweyi.",https://www.radiomaria.mw/macra-yakhazikitsa-ntchito-yopereka-mayina-ku-misewu-nambala-ku-nyumba-mboma-la-kasungu/,"April 22, 2023",judith sonkho
Papa Wati Mawu a Mulungu Amapereka Tanthauzo Lenileni la Mavuto,"Mtsogoleri wa mpingo wa Katolika pa dziko lonse Papa Francisco wati Mau a Mulungu amapereka tanthauzo lenileni la mavuto omwe anthu amawaona m’moyo wawo. Malinga ndi malipoti a Vatican Radio, Papa wayankhula izi ku likulu la mpingo ku Vatican, pa mkumano wake ndi mamembala a bungwe la Baibulo la Pontifical Biblical Commission lomwe lidapatsidwa ntchito yochita kafukufuku mu Baibulo kuti lipeze tanthauzo la mavuto ndi matenda. Iye wafotokoza kuti pamene anthu ali mu mavuto monga matenda pali zinthu ziwiri zomwe zingathe kuchitika: kutaya mtima ndipo osaonanso chabwino chilichonse m’moyo uno kapena kukhala nthawi yokula m’moyo wa uzimu. Papa Francisco wati mawu a Mulungu opezeka mu Baibulo amathandiza anthu okhulupirira kuti nthawi ya mavuto monga matenda ikhale nthawi yokula m’moyo wa uzimu ndi kukhala pafupi komanso kumudziwa Mulungu. Iye wati mu nthawi ya mavuto mtanda wa Yesu Khristu umawulula chikondi cha Mulungu pa anthu ake. Koma si pokhapo iye wati machiritso ku matenda osiyana-siyana amawululanso chikondi cha Mulungu makamaka kuti Mulungu amakhala pafupi ndi anthu ake. Bungwe la Pontifical Biblical Commission kapena kuti Pontificia Commissio Biblica m’chilatini ndi bungwe la a Papa lomwe limateteza Mau a Mulungu ndi kuonetsetsa kuti Mau a Mulungu akutanthauziridwa moyenerera.",https://www.radiomaria.mw/papa-wati-mawu-a-mulungu-amapereka-tanthauzo-lenileni-la-mavuto/,"April 21, 2023",judith sonkho
Mkhalakale pa Ndale Adzudzula Zitopotopo ku DPP,"Anthu akupitilira kudzudzula chipani chotsutsa boma cha Democratic Progressive (DPP) ponena kuti zina mwa ziganizo zomwe chikupanga, zikusokoneza tsogolo la chipanichi. Mkhalakale pa ndale Humphreys Mvula wati kubwezeretsedwa pa udindo ndi bwalo la milandu kwa gavanala wa chipanichi mchigawo chakumwera, a Charles Mchacha, ndi chizindikiro kuti ku chipani cha DPP kwalowa chisawawa. Mvula amathilira ndemanga pa zomwe khoti lachita pobwezeretsa a Mchacha paudindo wake atachotsedwa ati kaamba kotsutsana ndi ganizo loti a Peter Mutharika adzayimire chipanichi pa chisankho cha 2025. Mchacha: Tipitiriza kupereka ulemu kwa apulezidenti athu “Sanawachotse motsata malamulo a chipani chawo ndi chifukwa chake khoti lawona kuti abwezeretsedwe. Mmene zateremu ubale wawo ndi president wawo wasokonekera basi sanagagwire ntchito yawo momasuka,” anatero a Mvula. Padakali pano a Charles Mchacha omwenso ndi phungu wa nyumba ya malamulo mdera la kumadzulo m’boma la Thyolo ati alibe mangawa aliwonse ndi utsogoleri wa chipanichi. “Sindimatha kubwenza choyipa koma kumuwunikira munthu kuti asadzachitenso choipacho. Ndikutsimikizira anthu onse kuti ndigwira ntchito mwabwino kwambiri komanso tipitiriza kupereka ulemu kwa apulezidenti a chipani chathu a Mutharika,” anatero a Mchacha. Masiku apitawa chipani cha DPP chinachotsa pa udindo a Mchacha ndipo mmalo mwake anayika a Thompson Kamangira pa udindowu zomwe sizinakondweretse a Mchacha omwe anakatenga chiletso ku bwalo la milandu chomwe chachititsa kuti iwo abwelere pa udindowu.",https://www.radiomaria.mw/mkhalakale-pa-ndale-adzudzula-zitopotopo-ku-dpp/,"April 21, 2023",judith sonkho
